season,round,datetime,venue,for_team,for_is_home,for_goals1,for_behinds1,for_goals2,for_behinds2,for_goals3,for_behinds3,for_goals4,for_behinds4,for_total_score,for_match_points,for_is_win,for_is_draw,for_is_loss,against_team,against_is_home,against_goals1,against_behinds1,against_goals2,against_behinds2,against_goals3,against_behinds3,against_goals4,against_behinds4,against_total_score,against_match_points,against_is_win,against_is_draw,against_is_loss,edge_type,for_total_goals,for_total_behinds,against_total_goals,against_total_behinds
1999,R16,Sun 18-Jul-1999 1:40 PM,Football Park,Port Adelaide,True,3,2,2,6,1,1,4,3,72,4,True,False,False,Sydney,False,2,4,3,1,4,1,0,4,64,0,False,False,True,defeated,10,12,9,10
1999,R16,Sun 18-Jul-1999 2:10 PM,Waverley Park,Collingwood,False,4,6,6,5,3,3,5,2,124,4,True,False,False,Hawthorn,True,1,2,2,5,6,1,5,0,92,0,False,False,True,defeated,18,16,14,8
1999,R16,Sun 18-Jul-1999 2:10 PM,Subiaco,Fremantle,False,7,5,3,3,4,2,3,7,119,4,True,False,False,West Coast,True,4,0,3,3,3,1,1,2,72,0,False,False,True,defeated,17,17,11,6
1999,R16,Sun 18-Jul-1999 2:10 PM,M.C.G.,Carlton,True,1,1,3,4,1,8,4,3,70,0,False,False,True,Essendon,False,4,4,7,1,5,1,7,2,146,4,True,False,False,lost-to,9,16,23,8
1999,R17,Fri 23-Jul-1999 7:40 PM,M.C.G.,Melbourne,True,2,3,1,1,6,3,2,6,79,0,False,False,True,St Kilda,False,4,2,6,5,1,3,3,4,98,4,True,False,False,lost-to,11,13,14,14
1999,R17,Sat 24-Jul-1999 2:10 PM,Kardinia Park,Geelong,True,3,2,3,6,4,2,3,3,91,0,False,False,True,Western Bulldogs,False,4,3,2,2,3,6,5,3,98,4,True,False,False,lost-to,13,13,14,14
1999,R17,Sat 24-Jul-1999 2:10 PM,M.C.G.,Essendon,True,7,2,7,5,4,3,6,4,158,4,True,False,False,Kangaroos,False,8,1,2,3,6,4,4,4,132,0,False,False,True,defeated,24,14,20,12
1999,R17,Sat 24-Jul-1999 7:40 PM,S.C.G.,Richmond,False,2,3,2,2,2,2,2,0,55,0,False,False,True,Sydney,True,7,2,1,6,1,2,5,2,96,4,True,False,False,lost-to,8,7,14,12
1999,R17,Sat 24-Jul-1999 8:10 PM,W.A.C.A.,Fremantle,True,3,2,4,2,3,5,3,2,89,0,False,False,True,Port Adelaide,False,2,5,4,1,3,5,5,1,96,4,True,False,False,lost-to,13,11,14,12
1999,R17,Sun 25-Jul-1999 1:40 PM,Football Park,Adelaide,True,4,7,5,3,3,5,6,2,125,4,True,False,False,Hawthorn,False,1,2,3,2,4,2,3,4,76,0,False,False,True,defeated,18,17,11,10
1999,R17,Sun 25-Jul-1999 2:10 PM,M.C.G.,Carlton,False,5,0,9,3,4,4,5,8,153,4,True,False,False,Collingwood,True,4,4,2,1,5,3,3,4,96,0,False,False,True,defeated,23,15,14,12
1999,R17,Sun 25-Jul-1999 2:10 PM,Gabba,Brisbane Lions,True,10,6,6,3,3,5,6,2,166,4,True,False,False,West Coast,False,1,2,4,2,3,6,1,2,66,0,False,False,True,defeated,25,16,9,12
1999,R18,Fri 30-Jul-1999 7:40 PM,M.C.G.,Kangaroos,True,6,2,2,7,2,1,5,1,101,4,True,False,False,Richmond,False,4,2,2,5,4,3,1,3,79,0,False,False,True,defeated,15,11,11,13
1999,R18,Sat 31-Jul-1999 2:10 PM,M.C.G.,Geelong,False,4,0,3,2,5,4,3,5,101,4,True,False,False,Melbourne,True,4,1,3,4,3,2,2,1,80,0,False,False,True,defeated,15,11,12,8
1999,R18,Sat 31-Jul-1999 2:10 PM,Waverley Park,Adelaide,False,5,1,2,3,5,2,3,3,99,4,True,False,False,St Kilda,True,3,4,3,3,1,3,2,2,66,0,False,False,True,defeated,15,9,9,12
1999,R18,Sat 31-Jul-1999 7:40 PM,S.C.G.,Essendon,False,6,1,5,1,2,0,2,1,93,4,True,False,False,Sydney,True,2,3,3,2,3,4,3,4,79,0,False,False,True,defeated,15,3,11,13
1999,R18,Sat 31-Jul-1999 8:10 PM,W.A.C.A.,Collingwood,False,4,3,1,4,4,2,1,3,72,0,False,False,True,West Coast,True,4,2,4,4,5,3,3,3,108,4,True,False,False,lost-to,10,12,16,12
1999,R18,Sun 01-Aug-1999 1:40 PM,Football Park,Brisbane Lions,False,3,9,6,5,3,1,5,1,118,4,True,False,False,Port Adelaide,True,2,2,1,4,4,4,2,2,66,0,False,False,True,defeated,17,16,9,12
1999,R18,Sun 01-Aug-1999 2:10 PM,Waverley Park,Fremantle,False,2,6,0,6,4,7,3,4,77,0,False,False,True,Hawthorn,True,3,3,5,2,2,4,5,3,102,4,True,False,False,lost-to,9,23,15,12
1999,R18,Sun 01-Aug-1999 2:10 PM,Princes Park,Carlton,True,3,5,4,5,6,2,1,3,99,4,True,False,False,Western Bulldogs,False,2,1,5,3,3,5,4,1,94,0,False,False,True,defeated,14,15,14,10
1999,R19,Fri 06-Aug-1999 7:40 PM,M.C.G.,Essendon,True,2,2,5,5,8,4,8,4,153,4,True,False,False,West Coast,False,5,1,4,0,2,2,4,0,93,0,False,False,True,defeated,23,15,15,3
1999,R19,Sat 07-Aug-1999 2:10 PM,Kardinia Park,Geelong,True,7,3,3,3,4,1,4,3,118,4,True,False,False,Port Adelaide,False,5,1,2,6,2,1,3,6,86,0,False,False,True,defeated,18,10,12,14
1999,R19,Sat 07-Aug-1999 2:10 PM,M.C.G.,Collingwood,False,4,3,4,4,5,5,3,4,112,4,True,False,False,Richmond,True,2,4,2,5,1,4,5,6,79,0,False,False,True,defeated,16,16,10,19
1999,R19,Sat 07-Aug-1999 7:40 PM,S.C.G.,Kangaroos,True,4,4,9,0,1,2,3,3,111,4,True,False,False,Sydney,False,2,2,6,2,4,5,3,2,101,0,False,False,True,defeated,17,9,15,11
1999,R19,Sat 07-Aug-1999 8:10 PM,W.A.C.A.,Carlton,False,5,3,5,0,5,4,4,5,126,4,True,False,False,Fremantle,True,3,3,4,4,0,0,1,2,57,0,False,False,True,defeated,19,12,8,9
1999,R19,Sun 08-Aug-1999 1:40 PM,Football Park,Adelaide,True,2,2,2,2,1,0,1,4,44,0,False,False,True,Brisbane Lions,False,1,3,2,7,3,4,5,3,83,4,True,False,False,lost-to,6,8,11,17
1999,R19,Sun 08-Aug-1999 2:10 PM,Princes Park,St Kilda,False,3,3,2,5,5,2,3,3,91,0,False,False,True,Western Bulldogs,True,5,2,6,0,5,3,2,2,115,4,True,False,False,lost-to,13,13,18,7
1999,R19,Sun 08-Aug-1999 2:10 PM,Waverley Park,Hawthorn,True,5,8,3,2,6,2,4,2,122,4,True,False,False,Melbourne,False,1,2,0,3,2,0,5,1,54,0,False,False,True,defeated,18,14,8,6
1999,R20,Fri 13-Aug-1999 7:40 PM,M.C.G.,Collingwood,True,2,3,2,1,2,0,4,1,65,0,False,False,True,Essendon,False,2,2,3,4,4,4,3,5,87,4,True,False,False,lost-to,10,5,12,15
1999,R20,Sat 14-Aug-1999 2:10 PM,Waverley Park,Kangaroos,False,4,3,6,5,4,4,2,6,114,4,True,False,False,St Kilda,True,1,3,4,1,7,3,1,4,89,0,False,False,True,defeated,16,18,13,11
1999,R20,Sat 14-Aug-1999 2:10 PM,M.C.G.,Richmond,True,3,3,3,1,5,1,1,2,79,0,False,False,True,Western Bulldogs,False,4,3,4,1,4,5,5,4,115,4,True,False,False,lost-to,12,7,17,13
1999,R20,Sat 14-Aug-1999 7:10 PM,Football Park,Melbourne,False,1,5,0,3,2,2,3,0,46,0,False,False,True,Port Adelaide,True,2,3,2,7,3,1,1,4,63,4,True,False,False,lost-to,6,10,8,15
