season,team,teams,games,wins,draws,losses,wins_ratio,points_for,points_against,points_ratio,goals_for,behinds_for,accuracy_for,goals_against,behinds_against,accuracy_against,goals_ratio,behinds_ratio,rank,rank_score,coarse_rank,wins_prestige,adj_wins_prestige,points_prestige,adj_points_prestige
2009,Port Adelaide,16,22,9,0,13,0.4090909090909091,1990,2244,0.4700047236655645,290,250,0.5370370370370371,332,252,0.5684931506849316,0.4662379421221865,0.49800796812749004,10,0.4,3,0.013446358588594278,0.16974167484532987,0.0500113602625495,0.4412354283728636
2009,Richmond,16,22,5,1,16,0.25,1774,2388,0.42623738587217685,255,244,0.5110220440881763,348,300,0.5370370370370371,0.4228855721393035,0.4485294117647059,15,0.06666666666666665,4,0.004067432724305082,0.05772442769764751,0.04521522450781787,0.41532327555297016
2009,St Kilda,16,25,22,0,3,0.88,2405,1596,0.6010997250687328,352,293,0.5457364341085271,232,204,0.5321100917431193,0.6027397260273972,0.5895372233400402,1,1.0,1,0.34604043884310826,0.888108108443562,0.0938474065764999,0.6083811693278881
2009,Sydney,16,22,8,0,14,0.36363636363636365,1888,2027,0.4822477650063857,278,220,0.5582329317269076,294,263,0.5278276481149012,0.486013986013986,0.4554865424430642,12,0.2666666666666667,3,0.011768536752349684,0.15155750958260122,0.05760144150334085,0.47830600632984266
2009,West Coast,16,22,8,0,14,0.36363636363636365,1893,2029,0.48266190719020907,272,261,0.5103189493433395,297,247,0.5459558823529411,0.4780316344463972,0.5137795275590551,11,0.33333333333333337,3,0.015832512718344526,0.1943983007978717,0.05612499337719152,0.4714405400361296
2009,Western Bulldogs,16,25,16,0,9,0.64,2620,2152,0.5490360435875943,386,304,0.5594202898550724,315,262,0.5459272097053726,0.550641940085592,0.5371024734982333,3,0.8666666666666667,1,0.07723072503452494,0.5566231467715528,0.07766934946345443,0.5581376295627883
2010,Adelaide,16,22,9,0,13,0.4090909090909091,1763,1870,0.48527387833746216,250,263,0.4873294346978557,269,256,0.5123809523809524,0.4816955684007707,0.5067437379576107,11,0.33333333333333337,3,0.03469395460442924,0.35027524888987294,0.057265345049547355,0.4767570101049241
2010,Brisbane Lions,16,22,7,0,15,0.3181818181818182,1775,2158,0.45130943300279686,254,251,0.502970297029703,311,292,0.5157545605306799,0.4495575221238938,0.4622467771639042,13,0.19999999999999996,4,0.03742786948857729,0.3683869176678549,0.05251505865697228,0.4539655183287237
2010,Carlton,16,23,11,0,12,0.4782608695652174,2237,2082,0.5179439685112295,328,269,0.5494137353433836,299,288,0.5093696763202725,0.5231259968102073,0.4829443447037702,8,0.5333333333333333,2,0.04411882217578539,0.40909764506475677,0.06474943866195063,0.5094390681745181
2010,Collingwood,16,26,20,2,4,0.8076923076923077,2769,1919,0.5906569965870307,395,399,0.49748110831234255,278,251,0.5255198487712666,0.586924219910847,0.6138461538461538,1,1.0,1,0.26229237829923363,0.8421034052760745,0.08933791821727206,0.5953927233268361
2010,Essendon,16,22,7,0,15,0.3181818181818182,1930,2402,0.4455216989843029,277,268,0.5082568807339449,358,254,0.5849673202614379,0.43622047244094486,0.5134099616858238,14,0.1333333333333333,4,0.02637904326999969,0.28896789614521845,0.05034394777561699,0.442956624350173
